symbol,side,strategy_id,trades,pnl_sum,pnl_avg,win_rate,window,is_new_asset
AAVE/USDT:USDT,long,aave_trend,1,-0.0678116858952562,-0.0678116858952562,0.0,1m,False
AAVE/USDT:USDT,short,aave_trend,60,7.440830884768927,0.12401384807948211,0.5166666666666667,1m,False
ADA/USDT:USDT,long,ada_trend_discovery,4,0.06774646970149001,0.016936617425372502,0.75,1m,True
ADA/USDT:USDT,short,ada_trend_discovery,57,8.40198203519631,0.14740319359993526,0.631578947368421,1m,True
AVAX/USDT:USDT,long,avax_trend,7,-4.502727892580896,-0.6432468417972708,0.42857142857142855,1m,False
AVAX/USDT:USDT,short,avax_trend,53,13.212557341034978,0.24929353473650903,0.5849056603773585,1m,False
BCH/USDT:USDT,long,bch_trend,3,-0.057550262864684204,-0.019183420954894736,0.3333333333333333,1m,False
BCH/USDT:USDT,short,bch_trend,83,9.498735358786758,0.1144425946841778,0.5903614457831325,1m,False
BNB/USDT:USDT,long,bnb_trend,30,16.572890246708532,0.5524296748902844,0.5666666666666667,1m,False
BNB/USDT:USDT,short,bnb_trend,55,17.74360347166425,0.3226109722120773,0.6181818181818182,1m,False
BTC/USDT:USDT,long,btc_trend_loose,6,0.9920412540447456,0.1653402090074576,0.3333333333333333,1m,False
BTC/USDT:USDT,short,btc_trend_loose,47,27.058335164348485,0.5757092588159252,0.7021276595744681,1m,False
DOGE/USDT:USDT,long,doge_trend_loose,7,0.3427004600688941,0.04895720858127058,0.5714285714285714,1m,False
DOGE/USDT:USDT,short,doge_trend_loose,62,5.168166382720262,0.08335752230193971,0.5806451612903226,1m,False
DOT/USDT:USDT,long,dot_trend,2,0.7875797116748257,0.3937898558374128,1.0,1m,False
ENA/USDT:USDT,long,ena_trend_discovery,8,0.9160492507068649,0.11450615633835812,0.625,1m,True
ENA/USDT:USDT,short,ena_trend_discovery,51,13.949436807608897,0.27351836877664504,0.5098039215686274,1m,True
ETH/USDT:USDT,long,eth_trend,2,-0.4566464489409401,-0.22832322447047004,0.5,1m,False
ETH/USDT:USDT,short,eth_trend,92,31.384542425316063,0.3411363307099572,0.6304347826086957,1m,False
INJ/USDT:USDT,long,inj_trend_discovery,49,35.906089011511355,0.7327773267655379,0.5510204081632653,1m,True
INJ/USDT:USDT,short,inj_trend_discovery,21,12.914973659683499,0.6149987456992142,0.6190476190476191,1m,True
LINK/USDT:USDT,long,link_trend,2,0.6348331155560738,0.3174165577780369,1.0,1m,False
LINK/USDT:USDT,short,link_trend,48,33.86046669718061,0.7054263895245961,0.5625,1m,False
NEAR/USDT:USDT,long,near_trend_discovery,47,117.19777610242626,2.4935697043069416,0.6382978723404256,1m,True
NEAR/USDT:USDT,short,near_trend_discovery,24,6.142761638088035,0.25594840158700144,0.4583333333333333,1m,True
ONDO/USDT:USDT,long,ondo_trend_discovery,43,10.60720133784151,0.2466791008800351,0.5116279069767442,1m,True
ONDO/USDT:USDT,short,ondo_trend_discovery,30,10.267728294642568,0.34225760982141895,0.6,1m,True
RENDER/USDT:USDT,long,render_trend_discovery,43,12.907225330684055,0.3001680309461408,0.4883720930232558,1m,True
RENDER/USDT:USDT,short,render_trend_discovery,29,4.781793837439322,0.16488944267032143,0.5517241379310345,1m,True
SOL/USDT:USDT,long,sol_trend_discovery,5,0.12339631511370419,0.024679263022740837,0.6,1m,True
SOL/USDT:USDT,short,sol_trend_discovery,57,8.294755962690445,0.1455220344331657,0.631578947368421,1m,True
SUI/USDT:USDT,long,sui_trend_discovery,4,1.1909692913004726,0.29774232282511814,0.25,1m,True
SUI/USDT:USDT,short,sui_trend_discovery,56,35.84700905031844,0.6401251616128293,0.6428571428571429,1m,True
TON/USDT:USDT,long,ton_trend_discovery,25,3.3063675604277845,0.13225470241711137,0.4,1m,True
TON/USDT:USDT,short,ton_trend_discovery,44,31.821996440029363,0.7232271918188492,0.5909090909090909,1m,True
TRX/USDT:USDT,long,trx_trend,2,0.1997743470168405,0.09988717350842025,1.0,1m,False
XLM/USDT:USDT,long,xlm_trend_discovery,29,16.0479108848709,0.5533762374093413,0.6206896551724138,1m,True
XLM/USDT:USDT,short,xlm_trend_discovery,39,17.938341662978473,0.4599574785379096,0.5128205128205128,1m,True
XRP/USDT:USDT,long,xrp_trend,3,8.983434022723296,2.994478007574432,0.6666666666666666,1m,False
XRP/USDT:USDT,short,xrp_trend,57,91.95205062607629,1.6131938706329172,0.631578947368421,1m,False
AAVE/USDT:USDT,long,aave_trend,13,62.8222125376415,4.832477887510884,0.8461538461538461,3m,False
AAVE/USDT:USDT,short,aave_trend,120,69.30354692245105,0.577529557687092,0.5416666666666666,3m,False
ADA/USDT:USDT,long,ada_trend_discovery,66,19.327052586834107,0.2928341301035471,0.5151515151515151,3m,True
ADA/USDT:USDT,short,ada_trend_discovery,104,12.912632063067017,0.1241599236833367,0.6057692307692307,3m,True
AVAX/USDT:USDT,long,avax_trend,73,47.39324175865402,0.6492224898445756,0.4794520547945205,3m,False
