window,run,discovery_return_pct,baseline_return_pct,return_delta_pct,discovery_max_dd_pct,baseline_max_dd_pct,dd_delta_pct,discovery_trade_count,baseline_trade_count,discovery_win_rate_pct,baseline_win_rate_pct,win_rate_delta_pct,rows
1m,first_crypto_discovery_v0_56_1m_20260613T020000Z,58.51053914964621,22.836256189508862,35.67428296013735,-2.9466727650276803,-3.3615777788186696,0.4149050137909893,1287,580,58.1973581973582,58.10344827586207,0.09390992149612742,721
3m,first_crypto_discovery_v0_57_3m_20260613T000000Z,166.6565578340781,72.18675486265249,94.4698029714256,-2.946672765027658,-3.339091693670726,0.39241892864306793,3428,1424,55.60093348891482,53.93258426966292,1.6683492192519012,2161
6m,first_crypto_discovery_v0_57_6m_20260613T000000Z,748.042035903684,366.3644947128098,381.6775411908742,-3.1889183117433273,-4.968622381075849,1.7797040693325217,6607,2797,55.35038595429091,54.20092956739364,1.1494563868972634,4319
