trace_candidate_id,ts,symbol,symbol_code,side,strategy_id,adx,range_pct,breakout_distance_up,breakout_distance_down,dist_close_ema_fast,dist_close_ema_slow,pullback_depth,ret_1h_lag,ret_4h_lag,ret_12h_lag,ret_24h_lag,ema_gap_fast_slow,atrp,atrp_zscore,rolling_vol_24h,rolling_vol_72h,btc_adx,btc_atrp,btc_ret_24h_lag,btc_rolling_vol_24h,pnl,target_win,exit_reason,entry_ts,exit_ts,bars_held
1780718400000|AVAX/USDT:USDT|avax_trend|short,2026-06-06 04:00:00+00:00,AVAX/USDT:USDT,AVAX,short,avax_trend,100.0,0.052055229328678,0.0,0.0,-0.0462123825460161,-0.051941886118597,0.0,-0.0334407117656082,0.0,0.0,0.0,-0.0060071062653078,0.0189288062471456,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,2.9931862397513345,1,sl,1780718400000,1780722000000,1
1780718400000|BCH/USDT:USDT|bch_trend|short,2026-06-06 04:00:00+00:00,BCH/USDT:USDT,BCH,short,bch_trend,100.0,0.0475043029259898,0.0,0.0,-0.0381451913829078,-0.042018412093244,0.0,-0.037396449704142,0.0,0.0,0.0,-0.0040268247095473,0.0159148045743993,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.5539327387771434,1,sl,1780718400000,1780722000000,1
1780718400000|DOGE/USDT:USDT|doge_trend_loose|short,2026-06-06 04:00:00+00:00,DOGE/USDT:USDT,DOGE,short,doge_trend_loose,100.0,0.0467158859470467,0.0,0.0,-0.0314764235733515,-0.0347424144436652,0.0,-0.0303628733646011,0.0,0.0,0.0,-0.0033721335750684,0.0141351729082671,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.3204717036900679,1,sl,1780718400000,1780722000000,1
1780718400000|SOL/USDT:USDT|sol_trend_discovery|short,2026-06-06 04:00:00+00:00,SOL/USDT:USDT,SOL,short,sol_trend_discovery,100.0,0.0463815789473684,0.0,0.0,-0.0373215272424637,-0.0415647815676718,0.0,-0.031692944736423,0.0,0.0,0.0,-0.0044077586081815,0.0141564849624059,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.2055825672921708,1,sl,1780718400000,1780722000000,1
1780718400000|ADA/USDT:USDT|ada_trend_discovery|short,2026-06-06 04:00:00+00:00,ADA/USDT:USDT,ADA,short,ada_trend_discovery,100.0,0.0493991989319093,0.0,0.0,-0.032500988561972,-0.0356658043740306,0.0,-0.0335483870967742,0.0,0.0,0.0,-0.0032711307966657,0.0241614669900003,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.0691783798769004,1,sl,1780718400000,1780722000000,1
1780718400000|SUI/USDT:USDT|sui_trend_discovery|short,2026-06-06 04:00:00+00:00,SUI/USDT:USDT,SUI,short,sui_trend_discovery,100.0,0.0517601431980907,0.0,0.0,-0.0341335763955249,-0.0373714777584772,0.0,-0.0360891445003594,0.0,0.0,0.0,-0.0033523283176869,0.0188837915834591,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.1915825754154717,1,sl,1780718400000,1780722000000,1
1780718400000|NEAR/USDT:USDT|near_trend_discovery|short,2026-06-06 04:00:00+00:00,NEAR/USDT:USDT,NEAR,short,near_trend_discovery,100.0,0.06373861810391,0.0,0.0,-0.0452962682526081,-0.0502537584734369,0.0,-0.0401028277634961,0.0,0.0,0.0,-0.0051927001602424,0.0216406326858542,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.2046252760508627,1,sl,1780718400000,1780722000000,1
1780718400000|ENA/USDT:USDT|ena_trend_discovery|short,2026-06-06 04:00:00+00:00,ENA/USDT:USDT,ENA,short,ena_trend_discovery,100.0,0.0390765765765765,0.0,0.0,-0.0411170219799107,-0.0474666165560355,0.0,-0.0159574468085106,0.0,0.0,0.0,-0.0066218659853943,0.0349236992094133,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,-0.6905052131922601,0,sl,1780718400000,1780725600000,2
1780718400000|XLM/USDT:USDT|xlm_trend_discovery|short,2026-06-06 04:00:00+00:00,XLM/USDT:USDT,XLM,short,xlm_trend_discovery,100.0,0.0253084466940841,0.0,0.0,-0.0294166385069273,-0.0337037323703745,0.0,-0.0149067677764505,0.0,0.0,0.0,-0.0044170279787737,0.019559168178502,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,-0.0419927696169762,0,sl,1780718400000,1780722000000,2
1780718400000|ONDO/USDT:USDT|ondo_trend_discovery|short,2026-06-06 04:00:00+00:00,ONDO/USDT:USDT,ONDO,short,ondo_trend_discovery,100.0,0.0534134007585335,0.0,0.0,-0.0408661133164922,-0.0450581167651295,0.0,-0.0394656952034001,0.0,0.0,0.0,-0.0043706134324295,0.0218013880647075,0.0,0.0,0.0,100.0,0.0096521088408194,0.0,0.0,0.1652963826800983,1,sl,1780718400000,1780722000000,1
