model_name,accuracy_valid,balanced_accuracy_valid,roc_auc_valid,brier_valid,accuracy_test,balanced_accuracy_test,roc_auc_test,brier_test,scope_key
mlp_small,0.5102040816326531,0.5133779264214047,0.5568561872909699,0.2458256340426487,0.46938775510204084,0.5110294117647058,0.5680147058823529,0.2500130625547281,global
mlp_medium,0.4897959183673469,0.4841137123745819,0.49665551839464883,0.27443828053700353,0.40816326530612246,0.45036764705882354,0.5110294117647058,0.28715622936008434,global
extra_trees,0.4489795918367347,0.4506688963210702,0.4682274247491638,0.27392083014971413,0.5714285714285714,0.5615808823529411,0.5386029411764706,0.25858988595098065,global
logistic,0.40816326530612246,0.40468227424749165,0.42140468227424743,0.2872426074401619,0.40816326530612246,0.45036764705882354,0.40625000000000006,0.3036130346589265,global
random_forest,0.46938775510204084,0.46488294314381273,0.41304347826086957,0.2901065725996647,0.5714285714285714,0.5615808823529411,0.4319852941176471,0.27779677020302146,global
hgb,0.4897959183673469,0.4916387959866221,0.37625418060200666,0.4016685876177474,0.4489795918367347,0.48161764705882354,0.4191176470588235,0.3834588224160202,global
logistic,0.47368421052631576,0.4358974358974359,0.4358974358974359,0.286141038210891,0.55,0.5879120879120879,0.5824175824175825,0.27836405802493924,BTC/USDT:USDT|short
hgb,0.47368421052631576,0.391025641025641,0.42948717948717946,0.3066422931561619,0.65,0.6978021978021978,0.6648351648351649,0.2928485989623756,BTC/USDT:USDT|short
random_forest,0.47368421052631576,0.391025641025641,0.3717948717948718,0.29952139402894684,0.65,0.6648351648351649,0.5879120879120879,0.24819426466967093,BTC/USDT:USDT|short
extra_trees,0.47368421052631576,0.391025641025641,0.3589743589743589,0.2975877379044545,0.65,0.6648351648351649,0.5934065934065934,0.2449104190123621,BTC/USDT:USDT|short
mlp_small,0.47368421052631576,0.391025641025641,0.34615384615384615,0.2641052210323083,0.6,0.6593406593406593,0.7142857142857143,0.23750861944288731,BTC/USDT:USDT|short
mlp_medium,0.5263157894736842,0.5192307692307692,0.32051282051282054,0.2758389160963989,0.55,0.521978021978022,0.5274725274725275,0.25295208645333334,BTC/USDT:USDT|short
