model_name,scope,train_rows,valid_rows,test_rows,positive_rate_train,positive_rate_valid,positive_rate_test,accuracy_valid,balanced_accuracy_valid,roc_auc_valid,brier_valid,accuracy_test,balanced_accuracy_test,roc_auc_test,brier_test,recommended_apply,meta,key_value
mlp_small,global,226,49,49,0.43805309734513276,0.46938775510204084,0.6530612244897959,0.5102040816326531,0.5133779264214047,0.5568561872909699,0.2458256340426487,0.46938775510204084,0.5110294117647058,0.5680147058823529,0.2500130625547281,False,{},global
logistic,symbol_side,91,19,20,0.43956043956043955,0.3157894736842105,0.65,0.47368421052631576,0.4358974358974359,0.4358974358974359,0.286141038210891,0.55,0.5879120879120879,0.5824175824175825,0.27836405802493924,False,{},BTC/USDT:USDT|short
