window,window_days,target_key,train_rows,test_rows,model_type,accuracy,balanced_accuracy,roc_auc,brier,positive_rate_train,positive_rate_test,recommended_apply,fallback_mode,feature_numeric,feature_categorical,all_results,model_path,_score
1m,30,BNB/USDT:USDT,3605,181,extratrees,0.712707182320442,0.6892945544554455,0.7365717821782177,0.23688433047211394,0.3783633841886269,0.4419889502762431,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.4972375690607735, 'balanced_accuracy': 0.4689356435643564, 'roc_auc': 0.6074257425742574, 'brier': 0.2491632935801605}, 'mlp': {'accuracy': 0.5580110497237569, 'balanced_accuracy': 0.5, 'roc_auc': 0.5719059405940594, 'brier': 0.24421025822686288}, 'hgb': {'accuracy': 0.6187845303867403, 'balanced_accuracy': 0.5869430693069306, 'roc_auc': 0.6775990099009901, 'brier': 0.24023280734129432}, 'extratrees': {'accuracy': 0.712707182320442, 'balanced_accuracy': 0.6892945544554455, 'roc_auc': 0.7365717821782177, 'brier': 0.23688433047211394}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BNB_USDT_USDT_1m.joblib,"(1, 0.7365717821782177, 0.6892945544554455, 0.712707182320442)"
1m,30,BTC/USDT:USDT,2884,361,extratrees,0.5678670360110804,0.5397340754483612,0.6781230674087817,0.2371015023562194,0.3828016643550624,0.45706371191135736,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5623268698060941, 'balanced_accuracy': 0.5423005565862709, 'roc_auc': 0.6459492888064318, 'brier': 0.24431329404039115}, 'mlp': {'accuracy': 0.5429362880886427, 'balanced_accuracy': 0.5, 'roc_auc': 0.6592455163883736, 'brier': 0.2461384451059865}, 'hgb': {'accuracy': 0.5706371191135734, 'balanced_accuracy': 0.5408472479901051, 'roc_auc': 0.6566635745207172, 'brier': 0.25111006764013455}, 'extratrees': {'accuracy': 0.5678670360110804, 'balanced_accuracy': 0.5397340754483612, 'roc_auc': 0.6781230674087817, 'brier': 0.2371015023562194}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_BTC_USDT_USDT_1m.joblib,"(1, 0.6781230674087817, 0.5397340754483612, 0.5678670360110804)"
1m,30,ETH/USDT:USDT,3605,181,hgb,0.6132596685082873,0.5831481481481482,0.6747530864197531,0.25331521047665595,0.3783633841886269,0.44751381215469616,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5580110497237569, 'balanced_accuracy': 0.5296296296296297, 'roc_auc': 0.4909876543209877, 'brier': 0.2574066189723731}, 'mlp': {'accuracy': 0.56353591160221, 'balanced_accuracy': 0.5346296296296297, 'roc_auc': 0.652962962962963, 'brier': 0.23899138391898417}, 'hgb': {'accuracy': 0.6132596685082873, 'balanced_accuracy': 0.5831481481481482, 'roc_auc': 0.6747530864197531, 'brier': 0.25331521047665595}, 'extratrees': {'accuracy': 0.5469613259668509, 'balanced_accuracy': 0.5196296296296297, 'roc_auc': 0.6472839506172839, 'brier': 0.2377988318113654}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_ETH_USDT_USDT_1m.joblib,"(1, 0.6747530864197531, 0.5831481481481482, 0.6132596685082873)"
1m,30,XRP/USDT:USDT,3605,181,logreg,0.5469613259668509,0.59,0.5940740740740741,0.2590275548922956,0.3794729542302358,0.44751381215469616,True,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5469613259668509, 'balanced_accuracy': 0.59, 'roc_auc': 0.5940740740740741, 'brier': 0.2590275548922956}, 'mlp': {'accuracy': 0.5138121546961326, 'balanced_accuracy': 0.47086419753086417, 'roc_auc': 0.5435802469135802, 'brier': 0.2574086211202716}, 'hgb': {'accuracy': 0.56353591160221, 'balanced_accuracy': 0.5592592592592592, 'roc_auc': 0.5415432098765431, 'brier': 0.2705314851804531}, 'extratrees': {'accuracy': 0.5027624309392266, 'balanced_accuracy': 0.48080246913580243, 'roc_auc': 0.5543209876543209, 'brier': 0.24479424908903893}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_XRP_USDT_USDT_1m.joblib,"(1, 0.5940740740740741, 0.59, 0.5469613259668509)"
1m,30,LINK/USDT:USDT,3605,181,logreg,0.5359116022099447,0.5309366593299095,0.5918317437026168,0.24567779671884615,0.3883495145631068,0.48066298342541436,False,round_robin_ex_symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5359116022099447, 'balanced_accuracy': 0.5309366593299095, 'roc_auc': 0.5918317437026168, 'brier': 0.24567779671884615}, 'mlp': {'accuracy': 0.5193370165745856, 'balanced_accuracy': 0.5, 'roc_auc': 0.4580582049400832, 'brier': 0.26680846018961296}, 'hgb': {'accuracy': 0.5138121546961326, 'balanced_accuracy': 0.49767669356810956, 'roc_auc': 0.3309488872584984, 'brier': 0.3158703730094399}, 'extratrees': {'accuracy': 0.5303867403314917, 'balanced_accuracy': 0.5251895328931279, 'roc_auc': 0.5404133039863048, 'brier': 0.24932785574517313}}",artifacts/pwin_ml_multiwindow_v1/pwin_model_LINK_USDT_USDT_1m.joblib,"(0, 0.5918317437026168, 0.5309366593299095, 0.5359116022099447)"
