symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean,has_both_quote_volume
SIREN/USDT:USDT,SIREN,58011000.97524,6200662.7966,6200662.7966,64211663.77184,,True,True
VIRTUAL/USDT:USDT,VIRTUAL,31152237.87113,6172301.7278,6172301.7278,37324539.59893,,True,True
ORDI/USDT:USDT,ORDI,25690808.0893,6156644.46904,6156644.46904,31847452.558339998,,True,True
GOOGL/USDT:USDT,GOOGL,19016223.7428,6047320.5121,6047320.5121,25063544.2549,,True,True
OP/USDT:USDT,OP,32894156.8555,5992660.79495,5992660.79495,38886817.65045,,True,True
CHZ/USDT:USDT,CHZ,35497152.84005,5725124.71985,5725124.71985,41222277.5599,,True,True
PUMP/USDT:USDT,PUMP,51126234.915797,5584650.979619,5584650.979619,56710885.89541601,,True,True
BSB/USDT:USDT,BSB,25804764.7711,5246218.83849,5246218.83849,31050983.60959,,True,True
HOOD/USDT:USDT,HOOD,22595099.8086,5141675.9929,5141675.9929,27736775.8015,,True,True
LTC/USDT:USDT,LTC,46450441.38,5115316.986,5115316.986,51565758.366000004,,True,True
SPY/USDT:USDT,SPY,49050709.4482,5111798.6998,5111798.6998,54162508.148,,True,True
CRDO/USDT:USDT,CRDO,4928957.8352,5824203.4744,4928957.8352,10753161.3096,,True,True
BILL/USDT:USDT,BILL,15974776.0458,4910730.19408,4910730.19408,20885506.23988,,True,True
MAGMA/USDT:USDT,MAGMA,19673881.77036,4874250.26858,4874250.26858,24548132.03894,,True,True
MYX/USDT:USDT,MYX,21035510.2673,4777717.7005,4777717.7005,25813227.9678,,True,True
UB/USDT:USDT,UB,25727977.87296,4674286.93581,4674286.93581,30402264.80877,,True,True
FIL/USDT:USDT,FIL,104071606.458,4638543.95468,4638543.95468,108710150.41268,,True,True
ENJ/USDT:USDT,ENJ,41133248.63523,4527581.211379,4527581.211379,45660829.846609,,True,True
COAI/USDT:USDT,COAI,41664596.0603,4517442.156,4517442.156,46182038.2163,,True,True
HOME/USDT:USDT,HOME,53587374.017411,4503750.43413,4503750.43413,58091124.451541,,True,True
TIA/USDT:USDT,TIA,18009320.5751,4311559.37939,4311559.37939,22320879.954490002,,True,True
JTO/USDT:USDT,JTO,23054833.1305,4219209.7071,4219209.7071,27274042.8376,,True,True
FARTCOIN/USDT:USDT,FARTCOIN,31566522.13311,4132112.71115,4132112.71115,35698634.84426,,True,True
BE/USDT:USDT,BE,3892156.2765,6230108.4862,3892156.2765,10122264.7627,,True,True
WDC/USDT:USDT,WDC,3856068.9267,5277735.7029,3856068.9267,9133804.6296,,True,True
SEI/USDT:USDT,SEI,19891941.49764,3779554.27523,3779554.27523,23671495.772869997,,True,True
AT/USDT:USDT,AT,21233631.71196,3538112.8869,3538112.8869,24771744.59886,,True,True
BIO/USDT:USDT,BIO,12100564.80375,3494591.33087,3494591.33087,15595156.134620002,,True,True
ATOM/USDT:USDT,ATOM,20306848.383,3438543.9909,3438543.9909,23745392.3739,,True,True
ID/USDT:USDT,ID,29470395.63915,3423976.6351976,3423976.6351976,32894372.2743476,,True,True
FOLKS/USDT:USDT,FOLKS,18272407.8288,3365450.5074,3365450.5074,21637858.3362,,True,True
KAT/USDT:USDT,KAT,14685145.425401,3335695.649454,3335695.649454,18020841.074855,,True,True
SAHARA/USDT:USDT,SAHARA,24443147.39675,3327489.9285,3327489.9285,27770637.32525,,True,True
BANANAS31/USDT:USDT,BANANAS31,23367433.439765,3326247.644,3326247.644,26693681.083765,,True,True
BTW/USDT:USDT,BTW,34848744.722995,3309184.590452,3309184.590452,38157929.313447,,True,True
HBAR/USDT:USDT,HBAR,20194281.57917,3306806.04221,3306806.04221,23501087.62138,,True,True
AIN/USDT:USDT,AIN,29022897.14251,3243775.89836,3243775.89836,32266673.04087,,True,True
DELL/USDT:USDT,DELL,3239137.9573,5468992.9178,3239137.9573,8708130.8751,,True,True
UNI/USDT:USDT,UNI,38901067.688,3155664.069,3155664.069,42056731.757,,True,True
PENGU/USDT:USDT,PENGU,21153837.292827,3126467.534981,3126467.534981,24280304.827808,,True,True
SAMSUNG/USDT:USDT,SAMSUNG,14832185.4419,3000404.0013,3000404.0013,17832589.4432,,True,True
ICP/USDT:USDT,ICP,22638835.246,2960961.46659,2960961.46659,25599796.712589998,,True,True
JUP/USDT:USDT,JUP,12731007.7376,2951127.8729,2951127.8729,15682135.6105,,True,True
PYTH/USDT:USDT,PYTH,17988561.64565,2936353.33489,2936353.33489,20924914.98054,,True,True
EWY/USDT:USDT,EWY,73699598.1972,2901002.557,2901002.557,76600600.7542,,True,True
JCT/USDT:USDT,JCT,16963808.84026,2878289.643127,2878289.643127,19842098.483387,,True,True
IP/USDT:USDT,IP,11486531.20311,2768664.43509,2768664.43509,14255195.6382,,True,True
ORCL/USDT:USDT,ORCL,15575709.965,2698399.0542,2698399.0542,18274109.0192,,True,True
EDGE/USDT:USDT,EDGE,16639736.0449,2680858.1065,2680858.1065,19320594.1514,,True,True
OPENAI/USDT:USDT,OPENAI,4683270.7594,2591296.92137,2591296.92137,7274567.68077,,True,True
CHIP/USDT:USDT,CHIP,12604289.01095,2538369.64449,2538369.64449,15142658.655439999,,True,True
INX/USDT:USDT,INX,20084823.966257,2405237.639558,2405237.639558,22490061.605814997,,True,True
POL/USDT:USDT,POL,8061448.68775,2290687.15767,2290687.15767,10352135.84542,,True,True
ARC/USDT:USDT,ARC,21968888.63421,2274716.89689,2274716.89689,24243605.5311,,True,True
FIDA/USDT:USDT,FIDA,14144300.42282,2260815.849775,2260815.849775,16405116.272595,,True,True
PIPPIN/USDT:USDT,PIPPIN,21119409.94134,2243325.36971,2243325.36971,23362735.311049998,,True,True
MOVR/USDT:USDT,MOVR,14515180.58069,2157969.83063,2157969.83063,16673150.41132,,True,True
RAVE/USDT:USDT,RAVE,11388631.77645,2149193.19051,2149193.19051,13537824.966960002,,True,True
META/USDT:USDT,META,12740707.5215,2079834.7145,2079834.7145,14820542.236000001,,True,True
COIN/USDT:USDT,COIN,18635959.2095,2035605.5867,2035605.5867,20671564.7962,,True,True
BERA/USDT:USDT,BERA,11093670.50236,2033342.73852,2033342.73852,13127013.24088,,True,True
1000BONK/USDT:USDT,1000BONK,13522434.709319,2003879.14155,2003879.14155,15526313.850869,,True,True
ASTER/USDT:USDT,ASTER,25050374.0116,1999978.4992,1999978.4992,27050352.5108,,True,True
POWER/USDT:USDT,POWER,9352319.80868,1975773.79857,1975773.79857,11328093.60725,,True,True
