model_name,scope,train_rows,valid_rows,test_rows,positive_rate_train,positive_rate_valid,positive_rate_test,accuracy_valid,balanced_accuracy_valid,roc_auc_valid,brier_valid,accuracy_test,balanced_accuracy_test,roc_auc_test,brier_test,recommended_apply,meta,key_value
extra_trees,global,226,49,49,0.43805309734513276,0.46938775510204084,0.6530612244897959,0.4489795918367347,0.4506688963210702,0.4682274247491638,0.27392083014971413,0.5714285714285714,0.5615808823529411,0.5386029411764706,0.25858988595098065,False,{},global
logistic,symbol_side,91,19,20,0.43956043956043955,0.3157894736842105,0.65,0.47368421052631576,0.4358974358974359,0.4358974358974359,0.286141038210891,0.55,0.5879120879120879,0.5824175824175825,0.27836405802493924,False,{},BTC/USDT:USDT|short
