symbol,base,binance_quote_volume,bitget_quote_volume,min_quote_volume,sum_quote_volume,flags,candidate_clean
CLANKER/USDT:USDT,CLANKER,611787.9306,,,,,True
COAI/USDT:USDT,COAI,41656368.1883,,,,,True
COHR/USDT:USDT,COHR,6947680.5018,,,,,True
COIN/USDT:USDT,COIN,18629264.7222,,,,,True
COMP/USDT:USDT,COMP,3199717.45,,,,,True
COOKIE/USDT:USDT,COOKIE,1144837.21143,,,,,True
COPPER/USDT:USDT,COPPER,12420833.7912,,,,,True
COST/USDT:USDT,COST,127978.3868,,,,,True
COTI/USDT:USDT,COTI,959777.90836,,,,,True
COW/USDT:USDT,COW,594945.6722,,,,,True
CRCL/USDT:USDT,CRCL,120134573.819,,,,,True
CRDO/USDT:USDT,CRDO,4925130.7438,,,,,True
CROSS/USDT:USDT,CROSS,3580578.29962,,,,,True
CRV/USDT:USDT,CRV,46184850.86819,,,,,True
CRWD/USDT:USDT,CRWD,1241193.4559,,,,,True
CRWV/USDT:USDT,CRWV,11450952.2448,,,,,True
CTK/USDT:USDT,CTK,595262.0788,,,,,True
CTR/USDT:USDT,CTR,3208984.72635,,,,,True
CTSI/USDT:USDT,CTSI,2393731.232,,,,,True
CVC/USDT:USDT,CVC,629119.95556,,,,,True
CVX/USDT:USDT,CVX,2185235.2069,,,,,True
CYBER/USDT:USDT,CYBER,1051432.69941,,,,,True
CYS/USDT:USDT,CYS,1860531.6121,,,,,True
DASH/USDT:USDT,DASH,18724756.61,,,,,True
DEEP/USDT:USDT,DEEP,1402219.73332,,,,,True
DELL/USDT:USDT,DELL,3239137.9573,,,,,True
DEXE/USDT:USDT,DEXE,22475666.5203,,,,,True
DIA/USDT:USDT,DIA,624183.5499,,,,,True
DOGS/USDT:USDT,DOGS,5789465.21990643,,,,,True
DOLO/USDT:USDT,DOLO,5200717.74878,,,,,True
DOOD/USDT:USDT,DOOD,5395237.3396865,,,,,True
DRAM/USDT:USDT,DRAM,59535758.5272,,,,,True
DRIFT/USDT:USDT,DRIFT,2225982.48232,,,,,True
DYDX/USDT:USDT,DYDX,4284895.6548,,,,,True
DYM/USDT:USDT,DYM,2940893.422192,,,,,True
EDGE/USDT:USDT,EDGE,16530437.9577,,,,,True
EGLD/USDT:USDT,EGLD,3915926.223,,,,,True
EIGEN/USDT:USDT,EIGEN,9362310.84006,,,,,True
ELSA/USDT:USDT,ELSA,984319.15886,,,,,True
ENA/USDT:USDT,ENA,130978190.85637,,,,,True
ENJ/USDT:USDT,ENJ,41112082.94005,,,,,True
ENS/USDT:USDT,ENS,4034807.418,,,,,True
ENSO/USDT:USDT,ENSO,24384449.93831,,,,,True
EPIC/USDT:USDT,EPIC,32923356.81958,,,,,True
ERA/USDT:USDT,ERA,1054127.3259,,,,,True
ESP/USDT:USDT,ESP,4784070.80389,,,,,True
ESPORTS/USDT:USDT,ESPORTS,488564052.51639,,,,,True
ETC/USDT:USDT,ETC,13091079.948,,,,,True
ETHFI/USDT:USDT,ETHFI,10911607.31226,,,,,True
ETHW/USDT:USDT,ETHW,366725.2692,,,,,True
EUL/USDT:USDT,EUL,1261733.39251,,,,,True
EWJ/USDT:USDT,EWJ,1328045.2368,,,,,True
EWT/USDT:USDT,EWT,532602.657,,,,,True
EWY/USDT:USDT,EWY,73760070.4744,,,,,True
FARTCOIN/USDT:USDT,FARTCOIN,31523612.21447,,,,,True
FET/USDT:USDT,FET,35906971.8883,,,,,True
FF/USDT:USDT,FF,5005609.90228,,,,,True
FIDA/USDT:USDT,FIDA,14147048.01877,,,,,True
FIGHT/USDT:USDT,FIGHT,6168009.966439,,,,,True
FIL/USDT:USDT,FIL,103852777.401,,,,,True
FLOCK/USDT:USDT,FLOCK,1503698.94324,,,,,True
FLUID/USDT:USDT,FLUID,626837.2408,,,,,True
FLUX/USDT:USDT,FLUX,524929.27216,,,,,True
FOGO/USDT:USDT,FOGO,2436259.40843,,,,,True
FOLKS/USDT:USDT,FOLKS,18329023.906,,,,,True
FORM/USDT:USDT,FORM,3158328.40079,,,,,True
FRAX/USDT:USDT,FRAX,617198.0657,,,,,True
GALA/USDT:USDT,GALA,7274815.994293,,,,,True
GAS/USDT:USDT,GAS,843230.3429,,,,,True
GENIUS/USDT:USDT,GENIUS,13620970.2669,,,,,True
GIGGLE/USDT:USDT,GIGGLE,6233441.2859,,,,,True
GLM/USDT:USDT,GLM,1607718.45229,,,,,True
GLW/USDT:USDT,GLW,1284519.9935,,,,,True
GME/USDT:USDT,GME,160356.6143,,,,,True
GMT/USDT:USDT,GMT,5395419.20825,,,,,True
GMX/USDT:USDT,GMX,1239051.93273,,,,,True
GOAT/USDT:USDT,GOAT,1196671.40376,,,,,True
GOOGL/USDT:USDT,GOOGL,19017662.7508,,,,,True
GPS/USDT:USDT,GPS,2103855.913032,,,,,True
GRASS/USDT:USDT,GRASS,7954648.55202,,,,,True
GRIFFAIN/USDT:USDT,GRIFFAIN,2429767.606856,,,,,True
GRT/USDT:USDT,GRT,3536917.74733,,,,,True
GUN/USDT:USDT,GUN,2521371.867924,,,,,True
GWEI/USDT:USDT,GWEI,12772178.019096,,,,,True
HAEDAL/USDT:USDT,HAEDAL,2958094.31603,,,,,True
HBAR/USDT:USDT,HBAR,20184719.42212,,,,,True
HFT/USDT:USDT,HFT,1600512.7212,,,,,True
HIVE/USDT:USDT,HIVE,3045116.62337,,,,,True
HOLO/USDT:USDT,HOLO,5583114.82357,,,,,True
HOME/USDT:USDT,HOME,53661980.036009,,,,,True
HOOD/USDT:USDT,HOOD,22584305.0096,,,,,True
HOT/USDT:USDT,HOT,598320.3518124,,,,,True
HPE/USDT:USDT,HPE,2291036.0682,,,,,True
HUMA/USDT:USDT,HUMA,2926522.587507,,,,,True
HYPE/USDT:USDT,HYPE,1130460092.42801,,,,,True
HYPER/USDT:USDT,HYPER,3650007.74171,,,,,True
HYUNDAI/USDT:USDT,HYUNDAI,904329.9852,,,,,True
IBM/USDT:USDT,IBM,890629.505,,,,,True
ICNT/USDT:USDT,ICNT,2068653.8209,,,,,True
ICP/USDT:USDT,ICP,22487155.232,,,,,True
ICX/USDT:USDT,ICX,6281082.66608,,,,,True
ID/USDT:USDT,ID,29479059.96163,,,,,True
IDOL/USDT:USDT,IDOL,3268287.11068,,,,,True
ILV/USDT:USDT,ILV,734844.1784,,,,,True
IMX/USDT:USDT,IMX,2533089.5972,,,,,True
IN/USDT:USDT,IN,4218778.8348,,,,,True
INIT/USDT:USDT,INIT,4599006.69788,,,,,True
INJ/USDT:USDT,INJ,53898295.3197,,,,,True
INTC/USDT:USDT,INTC,168523235.4047,,,,,True
INX/USDT:USDT,INX,20113234.792737,,,,,True
IO/USDT:USDT,IO,8076132.98927,,,,,True
IOST/USDT:USDT,IOST,1675233.666642,,,,,True
IOTA/USDT:USDT,IOTA,4109330.739701,,,,,True
IOTX/USDT:USDT,IOTX,777924.495751,,,,,True
IP/USDT:USDT,IP,11514991.53235,,,,,True
IREN/USDT:USDT,IREN,1905410.1424,,,,,True
IRYS/USDT:USDT,IRYS,2230814.82753,,,,,True
IWM/USDT:USDT,IWM,430564.1238,,,,,True
JASMY/USDT:USDT,JASMY,2086726.638713,,,,,True
JCT/USDT:USDT,JCT,16971673.070142,,,,,True
JOE/USDT:USDT,JOE,1094663.93506,,,,,True
JST/USDT:USDT,JST,4613120.206384,,,,,True
JTO/USDT:USDT,JTO,23072385.9727,,,,,True
JUP/USDT:USDT,JUP,12749783.6389,,,,,True
KAIA/USDT:USDT,KAIA,1110946.68421,,,,,True
KAITO/USDT:USDT,KAITO,3744252.74534,,,,,True
KAS/USDT:USDT,KAS,3424387.82616,,,,,True
KAT/USDT:USDT,KAT,14719043.095933,,,,,True
KAVA/USDT:USDT,KAVA,3167602.34586,,,,,True
KERNEL/USDT:USDT,KERNEL,957059.09311,,,,,True
KGEN/USDT:USDT,KGEN,1944864.76024,,,,,True
KITE/USDT:USDT,KITE,5186184.00498,,,,,True
KMNO/USDT:USDT,KMNO,19439575.90833,,,,,True
KNC/USDT:USDT,KNC,911226.8236,,,,,True
KSM/USDT:USDT,KSM,1948460.581,,,,,True
LA/USDT:USDT,LA,2856853.886605,,,,,True
LAB/USDT:USDT,LAB,191124638.53436,,,,,True
LAYER/USDT:USDT,LAYER,2402208.905262,,,,,True
LDO/USDT:USDT,LDO,8321813.5576,,,,,True
LINEA/USDT:USDT,LINEA,2759881.015599,,,,,True
LISTA/USDT:USDT,LISTA,1688375.36218,,,,,True
LIT/USDT:USDT,LIT,34079118.14418,,,,,True
LITE/USDT:USDT,LITE,34380023.2327,,,,,True
LLY/USDT:USDT,LLY,856054.8208,,,,,True
LPT/USDT:USDT,LPT,3541097.412,,,,,True
LQTY/USDT:USDT,LQTY,997250.50052,,,,,True
LSK/USDT:USDT,LSK,1596334.5263,,,,,True
LTC/USDT:USDT,LTC,46417079.49,,,,,True
LUMIA/USDT:USDT,LUMIA,11615863.615703,,,,,True
LYN/USDT:USDT,LYN,2404577.95115,,,,,True
MAGIC/USDT:USDT,MAGIC,1293546.853645,,,,,True
MAGMA/USDT:USDT,MAGMA,19698775.96401,,,,,True
MANA/USDT:USDT,MANA,2350721.6743,,,,,True
MANTA/USDT:USDT,MANTA,2427338.422596,,,,,True
MANTRA/USDT:USDT,MANTRA,1938093.590352,,,,,True
MASK/USDT:USDT,MASK,1517809.9461,,,,,True
MAV/USDT:USDT,MAV,622907.2545,,,,,True
ME/USDT:USDT,ME,4760009.621531,,,,,True
MEGA/USDT:USDT,MEGA,9185306.583,,,,,True
MELANIA/USDT:USDT,MELANIA,8493232.140429,,,,,True
MEME/USDT:USDT,MEME,5903662.3051393,,,,,True
MERL/USDT:USDT,MERL,2499966.58481,,,,,True
MET/USDT:USDT,MET,1939535.7349,,,,,True
META/USDT:USDT,META,12746758.0144,,,,,True
METIS/USDT:USDT,METIS,811263.1878,,,,,True
MEW/USDT:USDT,MEW,1392425.3210884,,,,,True
MINA/USDT:USDT,MINA,1522136.44139,,,,,True
MIRA/USDT:USDT,MIRA,3203487.98349,,,,,True
MMT/USDT:USDT,MMT,5070731.9028,,,,,True
MOCA/USDT:USDT,MOCA,557254.35643,,,,,True
MON/USDT:USDT,MON,4972963.90921,,,,,True
MOODENG/USDT:USDT,MOODENG,6526723.28901,,,,,True
MORPHO/USDT:USDT,MORPHO,10290922.4509,,,,,True
MOVE/USDT:USDT,MOVE,7110010.33466,,,,,True
MOVR/USDT:USDT,MOVR,14521730.03675,,,,,True
MRVL/USDT:USDT,MRVL,197535751.6223,,,,,True
MSTR/USDT:USDT,MSTR,110588986.8291,,,,,True
MTL/USDT:USDT,MTL,748713.9947,,,,,True
MU/USDT:USDT,MU,600698105.2929,,,,,True
MUBARAK/USDT:USDT,MUBARAK,1078330.24894,,,,,True
MYX/USDT:USDT,MYX,20910363.2308,,,,,True
NAORIS/USDT:USDT,NAORIS,50909408.88489,,,,,True
NATGAS/USDT:USDT,NATGAS,18546023.1724,,,,,True
NBIS/USDT:USDT,NBIS,19973677.2549,,,,,True
NEAR/USDT:USDT,NEAR,238792552.722,,,,,True
NEO/USDT:USDT,NEO,2502441.414,,,,,True
NEWT/USDT:USDT,NEWT,991876.33327,,,,,True
NFLX/USDT:USDT,NFLX,300276.4208,,,,,True
NIGHT/USDT:USDT,NIGHT,5198378.04587,,,,,True
NIL/USDT:USDT,NIL,6978120.467183,,,,,True
NMR/USDT:USDT,NMR,1173549.9915,,,,,True
NOT/USDT:USDT,NOT,10404411.107524,,,,,True
NOW/USDT:USDT,NOW,1324764.4031,,,,,True
NXPC/USDT:USDT,NXPC,2371304.065,,,,,True
OG/USDT:USDT,OG,966532.077,,,,,True
OGN/USDT:USDT,OGN,955936.02321,,,,,True
ONDO/USDT:USDT,ONDO,69715483.91319,,,,,True
ONDS/USDT:USDT,ONDS,1159740.2362,,,,,True
ONE/USDT:USDT,ONE,745623.183425,,,,,True
ONG/USDT:USDT,ONG,785072.58415,,,,,True
ONT/USDT:USDT,ONT,2520410.360114,,,,,True
OP/USDT:USDT,OP,32884508.69645,,,,,True
OPEN/USDT:USDT,OPEN,9875910.2498,,,,,True
OPENAI/USDT:USDT,OPENAI,4680094.2298,,,,,True
OPG/USDT:USDT,OPG,9099876.2722,,,,,True
OPN/USDT:USDT,OPN,22427720.2292,,,,,True
ORCA/USDT:USDT,ORCA,65052060.6624,,,,,True
ORCL/USDT:USDT,ORCL,15654968.2158,,,,,True
ORDER/USDT:USDT,ORDER,1086299.21611,,,,,True
ORDI/USDT:USDT,ORDI,25642561.8375,,,,,True
PARTI/USDT:USDT,PARTI,6065059.94079,,,,,True
PAXG/USDT:USDT,PAXG,52616437.2838,,,,,True
PENDLE/USDT:USDT,PENDLE,12745385.9647,,,,,True
PENGU/USDT:USDT,PENGU,21152114.413003,,,,,True
PEOPLE/USDT:USDT,PEOPLE,3529080.798887,,,,,True
PHA/USDT:USDT,PHA,2905677.96956,,,,,True
PIEVERSE/USDT:USDT,PIEVERSE,13055217.0024,,,,,True
PIPPIN/USDT:USDT,PIPPIN,21143233.7051,,,,,True
PIXEL/USDT:USDT,PIXEL,1910154.690881,,,,,True
PLTR/USDT:USDT,PLTR,4801548.8795,,,,,True
PLUME/USDT:USDT,PLUME,2853828.48268,,,,,True
PNUT/USDT:USDT,PNUT,4095391.65908,,,,,True
POL/USDT:USDT,POL,8074077.54777,,,,,True
POLYX/USDT:USDT,POLYX,1504844.42002,,,,,True
POPCAT/USDT:USDT,POPCAT,2002393.49036,,,,,True
POWER/USDT:USDT,POWER,9365143.72931,,,,,True
POWR/USDT:USDT,POWR,595819.28837,,,,,True
PRL/USDT:USDT,PRL,3312212.4719,,,,,True
PROM/USDT:USDT,PROM,1728019.9278,,,,,True
PROVE/USDT:USDT,PROVE,2244216.484,,,,,True
PUMP/USDT:USDT,PUMP,51081357.068522,,,,,True
PUNDIX/USDT:USDT,PUNDIX,1382268.0191,,,,,True
PYTH/USDT:USDT,PYTH,17988950.04631,,,,,True
QCOM/USDT:USDT,QCOM,16848828.24,,,,,True
QNT/USDT:USDT,QNT,3691607.604,,,,,True
QQQ/USDT:USDT,QQQ,144941029.394,,,,,True
QTUM/USDT:USDT,QTUM,1292843.413,,,,,True
RARE/USDT:USDT,RARE,1044594.4389,,,,,True
RAVE/USDT:USDT,RAVE,11452119.95565,,,,,True
RECALL/USDT:USDT,RECALL,559704.49511,,,,,True
RED/USDT:USDT,RED,1320278.9125,,,,,True
RENDER/USDT:USDT,RENDER,21754542.922,,,,,True
RESOLV/USDT:USDT,RESOLV,2392045.9774,,,,,True
REZ/USDT:USDT,REZ,882252.532158,,,,,True
RIVER/USDT:USDT,RIVER,16300894.1344,,,,,True
RKLB/USDT:USDT,RKLB,57746753.778,,,,,True
ROBO/USDT:USDT,ROBO,10613344.72408,,,,,True
ROSE/USDT:USDT,ROSE,2934823.764592,,,,,True
RPL/USDT:USDT,RPL,581490.0884,,,,,True
RSR/USDT:USDT,RSR,1297430.333153,,,,,True
RUNE/USDT:USDT,RUNE,6943516.6913,,,,,True
RVN/USDT:USDT,RVN,1373123.929167,,,,,True
SAFE/USDT:USDT,SAFE,410714.5471,,,,,True
SAHARA/USDT:USDT,SAHARA,24463112.82006,,,,,True
SAMSUNG/USDT:USDT,SAMSUNG,14846939.1849,,,,,True
SAND/USDT:USDT,SAND,4402528.3237,,,,,True
SANTOS/USDT:USDT,SANTOS,679125.73189,,,,,True
SAPIEN/USDT:USDT,SAPIEN,1771671.8177,,,,,True
SCRT/USDT:USDT,SCRT,583584.94859,,,,,True
SEI/USDT:USDT,SEI,19889921.48996,,,,,True
SENT/USDT:USDT,SENT,7701351.90622,,,,,True
SFP/USDT:USDT,SFP,537400.2119,,,,,True
SHELL/USDT:USDT,SHELL,1227754.15389,,,,,True
SIGN/USDT:USDT,SIGN,1827094.90454,,,,,True
SIREN/USDT:USDT,SIREN,57710033.88044,,,,,True
SKHYNIX/USDT:USDT,SKHYNIX,90598535.7501,,,,,True
SKL/USDT:USDT,SKL,1552915.799962,,,,,True
SKR/USDT:USDT,SKR,2776694.5857,,,,,True
SKY/USDT:USDT,SKY,2868778.36763,,,,,True
SKYAI/USDT:USDT,SKYAI,120034466.53488,,,,,True
SLP/USDT:USDT,SLP,477291.7074787,,,,,True
SLX/USDT:USDT,SLX,10329448.83572,,,,,True
SNDK/USDT:USDT,SNDK,810295017.3332,,,,,True
SNX/USDT:USDT,SNX,2775283.28771,,,,,True
SOL/USDT:USDT,SOL,1419584204.5007,,,,,True
SOMI/USDT:USDT,SOMI,5399230.327,,,,,True
SONIC/USDT:USDT,SONIC,523500.834103,,,,,True
SOON/USDT:USDT,SOON,4032784.0532,,,,,True
SOPH/USDT:USDT,SOPH,18702418.736528,,,,,True
SOXL/USDT:USDT,SOXL,598868582.1968,,,,,True
SPACE/USDT:USDT,SPACE,70251723.069179,,,,,True
SPCX/USDT:USDT,SPCX,5857611453.9036,,,,,True
SPELL/USDT:USDT,SPELL,953195.5506217,,,,,True
SPK/USDT:USDT,SPK,4685783.08269,,,,,True
SPX/USDT:USDT,SPX,4695827.7884,,,,,True
SPY/USDT:USDT,SPY,49166060.7551,,,,,True
SQD/USDT:USDT,SQD,5857082.71956,,,,,True
SSV/USDT:USDT,SSV,1142769.33284,,,,,True
STABLE/USDT:USDT,STABLE,3730515.100079,,,,,True
STBL/USDT:USDT,STBL,877661.23452,,,,,True
STEEM/USDT:USDT,STEEM,662477.9542,,,,,True
STG/USDT:USDT,STG,268194818.0802,,,,,True
STO/USDT:USDT,STO,3487394.26556,,,,,True
STORJ/USDT:USDT,STORJ,1845507.6545,,,,,True
STRK/USDT:USDT,STRK,7641474.03241,,,,,True
STX/USDT:USDT,STX,3227551.1491,,,,,True
SUI/USDT:USDT,SUI,130717783.39804,,,,,True
SUN/USDT:USDT,SUN,2146054.569848,,,,,True
SUPER/USDT:USDT,SUPER,1790904.041,,,,,True
SUSHI/USDT:USDT,SUSHI,2326118.6096,,,,,True
SXT/USDT:USDT,SXT,7438973.855813,,,,,True
SYN/USDT:USDT,SYN,3247228.34141,,,,,True
SYRUP/USDT:USDT,SYRUP,1446878.58471,,,,,True
TAC/USDT:USDT,TAC,691650.184366,,,,,True
TAG/USDT:USDT,TAG,1669907.1519475,,,,,True
TAIKO/USDT:USDT,TAIKO,322802.9822,,,,,True
TAO/USDT:USDT,TAO,59311695.14,,,,,True
THE/USDT:USDT,THE,951932.558973,,,,,True
THETA/USDT:USDT,THETA,1838073.7311,,,,,True
TIA/USDT:USDT,TIA,18001388.4402,,,,,True
TLM/USDT:USDT,TLM,3581141.786049,,,,,True
TNSR/USDT:USDT,TNSR,1238889.503611,,,,,True
TON/USDT:USDT,TON,86596121.6993,,,,,True
TOSHI/USDT:USDT,TOSHI,1649614.3955044,,,,,True
TOWNS/USDT:USDT,TOWNS,1452670.91434,,,,,True
TRADOOR/USDT:USDT,TRADOOR,1875787.676,,,,,True
TRB/USDT:USDT,TRB,2944381.109,,,,,True
TREE/USDT:USDT,TREE,3126849.22704,,,,,True
TRIA/USDT:USDT,TRIA,2836186.38003,,,,,True
TRUMP/USDT:USDT,TRUMP,523902051.35404,,,,,True
TRUST/USDT:USDT,TRUST,1615655.27381,,,,,True
TURBO/USDT:USDT,TURBO,2845920.1553363,,,,,True
TUT/USDT:USDT,TUT,2169068.33459,,,,,True
UAI/USDT:USDT,UAI,9236255.4661,,,,,True
UB/USDT:USDT,UB,25810875.60338,,,,,True
UMA/USDT:USDT,UMA,1286085.6499,,,,,True
UNI/USDT:USDT,UNI,38917623.387,,,,,True
US/USDT:USDT,US,3860115.104413,,,,,True
USAR/USDT:USDT,USAR,7216333.1943,,,,,True
USDC/USDT:USDT,USDC,8740022.350119,,,,,True
USELESS/USDT:USDT,USELESS,7184999.51673,,,,,True
USTC/USDT:USDT,USTC,1586222.910119,,,,,True
USUAL/USDT:USDT,USUAL,2476511.55417,,,,,True
VANA/USDT:USDT,VANA,710891.77088,,,,,True
VANRY/USDT:USDT,VANRY,952537.257319,,,,,True
VELODROME/USDT:USDT,VELODROME,549520.94904,,,,,True
VELVET/USDT:USDT,VELVET,1499460460.7305,,,,,True
VET/USDT:USDT,VET,4828543.058617,,,,,True
VIRTUAL/USDT:USDT,VIRTUAL,31137049.07842,,,,,True
VTHO/USDT:USDT,VTHO,649455.8177063,,,,,True
VVV/USDT:USDT,VVV,39713808.59754,,,,,True
WAL/USDT:USDT,WAL,5224952.09329,,,,,True
WAXP/USDT:USDT,WAXP,707253.616257,,,,,True
WCT/USDT:USDT,WCT,1321722.9477,,,,,True
WDC/USDT:USDT,WDC,3856206.3514,,,,,True
WET/USDT:USDT,WET,776308.17239,,,,,True
WIF/USDT:USDT,WIF,16272745.85592,,,,,True
WLD/USDT:USDT,WLD,325039597.5925,,,,,True
WLFI/USDT:USDT,WLFI,61397204.09141,,,,,True
WMT/USDT:USDT,WMT,283126.5762,,,,,True
WOO/USDT:USDT,WOO,818539.88757,,,,,True
XAG/USDT:USDT,XAG,831220428.7366,,,,,True
XAI/USDT:USDT,XAI,1247571.836172,,,,,True
XAN/USDT:USDT,XAN,2148878.444844,,,,,True
XAU/USDT:USDT,XAU,1049111189.9,,,,,True
XAUT/USDT:USDT,XAUT,37821651.37,,,,,True
XLM/USDT:USDT,XLM,79451207.48259,,,,,True
XMR/USDT:USDT,XMR,154279039.1,,,,,True
