sim_id,total_return_pct,sharpe_annual,max_drawdown_pct
0,65.00873685968476,3.7750202226283154,-6.123572713646763
1,86.78319715373301,4.183649091261311,-4.785045977364577
2,100.82446452690994,4.116976796533709,-5.529288555984624
3,65.32267258066125,5.151541096052177,-6.511404677879717
4,114.70072454552454,4.074904760733816,-6.157561584414639
5,108.28570941142108,5.536294117625321,-5.860012902390688
6,15.238196589325836,2.2593831852349595,-10.865677627511905
7,32.000218942949246,2.810099449831382,-11.73760595487192
8,62.74026605248921,4.715548163919485,-5.56389110770541
9,43.93848134105267,2.818620847556935,-11.564812241883704
10,64.14748401065451,2.996009092624954,-5.254631600936454
11,104.32442556223793,3.5871730322004,-9.826654700418247
12,107.62322191162536,4.841256222001585,-5.409580006157466
13,78.46464397551178,4.531885177132946,-4.905970426348238
14,100.59463615371018,5.308166413529814,-2.084974359099334
15,73.93916339447712,4.223780875531657,-6.4987011463128574
16,66.08843012811587,3.9629582630622777,-5.714903030089024
17,172.6696658823677,5.208497884799528,-5.517425448190472
18,47.522294214647665,2.98705865719723,-7.397151016844472
19,49.42054394794057,3.0809616308910392,-7.322707524514726
20,42.39101842988104,3.757924476839532,-5.3035326709673924
21,78.28097611364211,5.7292242279712475,-5.29710984645514
22,29.02188010651672,4.457737452065829,-5.654630852857445
23,250.7764533503141,5.627899296596067,-8.71671435944059
24,117.37510016083164,5.082278743222695,-6.314207712504782
25,33.830910393460336,2.044307917756401,-10.5999137051349
26,41.30609028222507,2.7074690354189603,-10.032287595490018
27,58.804303254159464,3.5234920332605553,-9.406401645376395
28,42.46720203219208,3.636242157773451,-5.303532670967359
29,70.00883063010683,3.204510693226899,-6.725634546314351
30,18.63224096983447,3.915050436498616,-5.303532670967348
31,35.082289851797825,2.790632167399221,-10.217536972956154
32,40.39340117341681,7.027679780835739,-2.123617717840587
33,73.46518252467182,3.2519688816316794,-10.948900254483828
34,59.4095111125315,2.7783264553117535,-7.927447795626364
35,117.98829989681914,4.58072571457222,-6.327594451735797
36,134.72244936809568,5.064565411235527,-3.356774198325463
37,75.05623084122435,3.303581869725739,-7.256726888314924
38,63.469214859961134,3.8977280043433717,-9.62805429010073
39,131.90892480897597,4.77502797895294,-7.101462280931658
40,82.50221355113334,3.93619334782447,-5.9014702727825945
41,37.528330884474514,6.1481938920133485,-2.405628367823942
42,81.43546422408387,4.660374210849987,-5.393553119949567
43,106.01000548060892,4.207160267131915,-4.670556255507641
44,190.54665671909805,4.800234128262294,-5.937189849081315
45,43.5249161969742,3.7536258406553618,-5.886995934641592
46,188.1163657744889,6.172635946254118,-4.223343011668346
47,73.37495033224131,5.541276814005299,-4.899781106777301
48,131.51260941697907,4.916407956373756,-2.2191712811683306
49,81.95551313077458,3.916671047782097,-6.208050455792746
50,37.90462401682531,3.6138220411053332,-2.4871346718386644
51,28.976138770484905,2.1014746864032743,-5.209029045853142
52,259.2251843270362,6.089237010211971,-6.043771430056455
53,89.16596502874576,3.455405812554407,-5.303532670967359
54,91.46310773893941,4.312811540519937,-5.726711511350546
55,51.75471070351587,4.431396671910834,-4.658010272830282
56,30.6518284781907,2.6865516604278854,-8.210549830926162
57,69.04892995793158,3.960659099835607,-6.677891882868114
58,34.92196934975742,5.078178836256139,-6.034988884877057
59,6.703915446036901,1.4048873717383608,-8.033155565250183
60,119.38661138873297,3.8340319688955877,-8.563612386765772
61,46.18679375746204,2.54817547260583,-8.029355722559528
62,179.02477883031656,5.2611812645255505,-13.398306758301793
63,129.2340674561936,4.8781850004097,-3.9004211712662107
64,77.31366697228181,3.082030412106724,-11.065018456452602
65,133.50954907973232,4.486754797512233,-3.027834830891185
66,24.18514259655078,1.8355886455733756,-9.967520380593575
67,73.70438783911241,3.7138183568458136,-6.355769652399978
68,67.70354967838381,4.011155664118636,-5.303532670967359
69,96.14284161237813,3.9790324381730606,-6.263375746811917
70,77.23114168675318,4.393539634920884,-2.929943660908152
71,130.41184116548646,4.894261656685493,-4.2289115217604145
72,95.0819969313953,3.3158373049707817,-12.170326506713513
73,92.80499725318569,3.3167842727963213,-6.348590082300587
74,58.69564096486155,4.66428602343616,-5.29710984645514
75,140.40538827080792,4.402361825671548,-10.050584641825077
76,35.58477047245168,2.4144091632789513,-9.363389554600953
77,72.70125694523743,3.254352101435298,-7.874545994169302
78,104.10407386617698,5.4310637985275445,-1.6550795312987976
79,123.40286968515039,3.909050907270865,-17.986317573845934
80,31.70477108184304,2.952604719422958,-6.992458903986254
81,48.954094129631386,3.049999594490085,-9.714284392038886
82,34.2724665118048,3.0517200096165125,-5.59615254141902
83,54.18307947351511,4.65169602344596,-3.814403201578054
84,21.490443844343176,2.095871451221899,-9.314597333634234
85,76.21459295758723,3.7432135564528375,-6.703387117800618
86,47.98560259600397,3.9891737652807997,-4.128481241690363
87,265.2023161722878,4.97754861832655,-7.959430109291931
88,96.07742336900198,4.5623619771879405,-6.505574435787931
89,76.69903826562638,3.3308395228680303,-6.126157787046848
90,46.623219480793246,3.0215302706742464,-5.30353267096737
91,102.06636916657787,4.109770277639576,-5.2906964165360115
92,68.09207198368583,3.067536480389474,-9.342687271770266
93,88.8119207878993,4.319935320639576,-5.554048313463356
94,73.83200458549406,3.712866033679009,-3.9909111569521927
95,69.45365689440965,3.543731097205736,-13.783501099640327
96,71.31316241904837,3.6190694367584446,-5.46459420679033
97,32.84885774320168,3.112606468175407,-3.122807467237476
98,183.60371868033351,5.349078186839989,-3.8452076311825456
99,330.2832269979749,6.15323467314819,-4.155419987834041
100,63.419340753732925,3.775016996108548,-6.1096312956068655
101,12.838317074158102,1.0962732700792197,-9.716499220294416
102,42.237440887645825,2.8732481891716755,-5.757764644668672
103,13.376384083888858,1.0913575482225788,-18.774406661611888
104,92.82414055835267,5.089447029707884,-8.403864514507987
105,33.35374228329724,2.872739582966893,-7.875910889080107
106,28.478442944747396,2.6908822209646606,-5.307789657022443
107,84.36495123936756,3.2622487241590545,-13.472147313593052
108,185.34720985388367,6.05760547515972,-5.303532670967359
109,62.841426804229464,3.741613308200827,-5.977557190588034
110,61.07546698470965,3.1973557127675103,-7.510000403103145
111,186.80606755011152,4.811419368990492,-7.218913573009999
112,27.610353313300973,2.5321104968144375,-11.440360396505401
113,125.87881073945009,3.9714015289873377,-5.4316602872875315
114,55.39875995530741,3.445548534289805,-11.23289035176005
115,197.558971473351,5.237863937432824,-7.488382091805457
116,56.01450030939959,2.8721152311080123,-11.113304190961049
117,4.732819859566129,0.8409441907878362,-11.072919851209118
118,150.48199859747785,4.8089868888574365,-4.218626150163141
119,44.62304339838632,2.908848672902389,-6.418801520776474
120,141.4713130203325,4.666709615672578,-2.8907792603174887
121,47.63283561866045,2.942618940255192,-11.40176590174644
122,72.7389882706791,3.5302543271493314,-11.09889472936999
123,50.62927421042116,7.851835553458975,-2.500675430975341
124,98.47423881829923,4.009383855890738,-5.7520449244044425
125,183.18282527716298,5.076876266542791,-5.569132840150004
126,18.087154876336275,1.7594955686611269,-9.825501246888757
127,111.38740715156446,4.026715989000736,-4.903246870804567
128,69.5197820995735,3.9818748285080194,-5.810166361920254
129,230.68583488015477,5.755744753773277,-1.4027833257573064
130,112.92085117031662,4.376738477427407,-4.650210465869387
131,103.34854229508035,4.690177879555457,-8.108438883441915
132,10.9840922876272,2.601870490137987,-3.984462093727037
133,201.4933266941958,4.954106564720751,-6.138786210406455
134,124.20089159117333,5.319255994399632,-2.6238422686384655
135,22.129301601331797,1.6786783211329614,-10.392343879921317
136,44.782208497526476,2.9999346788037027,-6.109794662049395
137,75.13380837787662,4.303959325136958,-5.570243465668135
138,59.48524209120476,3.4602188279047077,-11.151946490688447
139,117.07502679363806,3.750628333576301,-10.713822361818181
140,63.451125720048715,2.9230744819806618,-12.167959025911323
141,85.6430133121506,4.698034315970357,-11.08668008033382
142,57.1835732281357,3.133920881497807,-6.738720386346387
143,39.214208425376555,3.1856647193978174,-10.310289338031907
144,111.82147920067914,3.937368815846783,-11.296327042143407
145,67.89170258365287,5.234446359318658,-4.7262333994509405
146,22.384640905618202,5.422067422759252,-3.6800923910639716
