symbol,strategy_id,side,entry_ts,exit_ts,entry_px,exit_px,qty,pnl,exit_reason,fee,bars_held,entry_adx,entry_atrp,entry_atr
BNB/USDT:USDT,bnb_trend,short,1766656800000,1766667600000,841.23,835.8100097367079,0.08321148794027793,0.4092760577030131,tp,0.04172939672734178,3,94.86413102413309,0.003278150312971501,2.7576783877810156
DOT/USDT:USDT,dot_trend,short,1766671200000,1766674800000,1.72,1.718707856746966,6.785626872484419,0.0017704958496712218,sl,0.006997506131215387,1,72.32626294909392,0.007330056146008331,0.012607696571134329
BNB/USDT:USDT,bnb_trend,short,1766674800000,1766678400000,838.05,841.8733717675958,0.0696335042269292,-0.3014083299349188,sl,0.035173555794910806,1,94.69058075833448,0.003391206138360065,2.8420003042526525
TRX/USDT:USDT,trx_trend,short,1766674800000,1766678400000,0.2785,0.27698609522118905,35.92039644618546,0.04841038962640917,tp,0.0059696702102555906,1,59.81441999593562,0.002383577876960492,0.0006638264387334971
TRX/USDT:USDT,trx_trend,short,1766685600000,1766689200000,0.27784,0.27872986818773426,35.996054345185456,-0.03805164893548238,sl,0.0060199052897472365,1,60.47131373426524,0.002691586614201544,0.000747830424889757
BNB/USDT:USDT,bnb_trend,short,1766685600000,1766700000000,841.35,835.7000482455912,0.06934175525887493,0.35700822684949984,tp,0.034769344929165454,4,77.66821310743752,0.0037035242837560487,3.1159601561381516
DOT/USDT:USDT,dot_trend,short,1766682000000,1766703600000,1.733,1.705974720513093,5.771079297864251,0.15005784173054482,tp,0.005907189235339717,6,62.749741271499246,0.008230749136295719,0.01426388825320048
BNB/USDT:USDT,bnb_trend,short,1766707200000,1766714400000,829.46,834.085203926386,0.07036760243889041,-0.36068005670875714,sl,0.03521554561803166,2,56.24199428074997,0.004717191598690644,3.912721743449942
TRX/USDT:USDT,trx_trend,short,1766696400000,1766714400000,0.27861,0.27947729155970197,41.87765606847471,-0.04334244998522061,sl,0.0070223123369316165,5,54.984700342207915,0.0025465906754653287,0.0007095056280913953
BNB/USDT:USDT,bnb_trend,short,1766721600000,1766732400000,840.99,846.1677241577908,0.06937402655176698,-0.39442081049808325,sl,0.03522123729778249,3,48.440706847380966,0.0054148577945390235,4.553841256629373
BNB/USDT:USDT,bnb_trend,short,1766739600000,1766757600000,842.13,832.9634906503735,0.08310218789593543,0.7202243292162209,tp,0.04153265310628895,5,38.16063096112715,0.005224035603973797,4.399317103174454
