ts,equity,balance,open_positions
2025-12-25 00:00:00+00:00,1000.0,1000.0,0
2025-12-25 01:00:00+00:00,1000.0,1000.0,0
2025-12-25 02:00:00+00:00,1000.0,1000.0,0
2025-12-25 03:00:00+00:00,1000.0,1000.0,0
2025-12-25 04:00:00+00:00,1000.0,1000.0,0
2025-12-25 05:00:00+00:00,1000.0,1000.0,0
2025-12-25 06:00:00+00:00,1000.0,1000.0,0
2025-12-25 07:00:00+00:00,1000.0,1000.0,0
2025-12-25 08:00:00+00:00,1000.0,1000.0,0
2025-12-25 09:00:00+00:00,1000.0,1000.0,0
2025-12-25 10:00:00+00:00,1000.3512984320578,999.986,1
2025-12-25 11:00:00+00:00,1000.277240207791,999.986,1
2025-12-25 12:00:00+00:00,1000.2472840721325,999.986,1
2025-12-25 13:00:00+00:00,1000.337152479108,999.986,1
2025-12-25 14:00:00+00:00,1000.3296734402857,999.9836666993333,2
2025-12-25 15:00:00+00:00,1000.0002867854279,999.9650994332778,1
2025-12-25 16:00:00+00:00,1000.0270872107251,1000.0270872107251,0
2025-12-25 17:00:00+00:00,1000.0122246025578,1000.0134201972005,2
2025-12-25 18:00:00+00:00,999.9276635543752,1000.0114201703601,3
2025-12-25 19:00:00+00:00,999.9451435979913,1000.0114201703601,3
2025-12-25 20:00:00+00:00,999.9998809981963,1000.0114201703601,3
2025-12-25 21:00:00+00:00,999.8611866615412,999.9670918689806,2
2025-12-25 22:00:00+00:00,1000.3026641715253,999.9670918689806,2
2025-12-25 23:00:00+00:00,1000.6720379593187,1000.6616315742674,1
2025-12-26 00:00:00+00:00,1000.6677318689526,1000.6616315742674,1
2025-12-26 01:00:00+00:00,1000.4939996546125,1000.6499571885657,2
2025-12-26 02:00:00+00:00,1000.1632979866158,1000.1632979866158,0
2025-12-26 03:00:00+00:00,1000.1632979866158,1000.1632979866158,0
2025-12-26 04:00:00+00:00,1000.1199042287949,1000.1492957276706,2
2025-12-26 05:00:00+00:00,1000.1259851682178,1000.1492957276706,2
2025-12-26 06:00:00+00:00,999.922982571709,1000.1492957276706,2
2025-12-26 07:00:00+00:00,999.6621012487642,999.6650211733248,1
2025-12-26 08:00:00+00:00,999.6904662302106,999.6650211733248,1
2025-12-26 09:00:00+00:00,999.6382307663823,999.6510258630284,2
2025-12-26 10:00:00+00:00,999.8012357206362,999.6510258630284,2
2025-12-26 11:00:00+00:00,999.9242092632825,999.6510258630284,2
2025-12-26 12:00:00+00:00,999.7156050439737,999.6510258630284,2
2025-12-26 13:00:00+00:00,999.6130411200683,999.6510258630284,2
2025-12-26 14:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 15:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 16:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 17:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 18:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 19:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 20:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 21:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 22:00:00+00:00,1000.4384379543517,1000.4384379543517,0
2025-12-26 23:00:00+00:00,1000.4898003868943,1000.4244318162204,1
2025-12-27 00:00:00+00:00,1000.4210795818268,1000.4244318162204,1
2025-12-27 01:00:00+00:00,1000.358225186948,1000.4244318162204,1
2025-12-27 02:00:00+00:00,1000.4370026951962,1000.4244318162204,1
2025-12-27 03:00:00+00:00,1000.3523587767593,1000.4244318162204,1
2025-12-27 04:00:00+00:00,1000.3934236480801,1000.4244318162204,1
2025-12-27 05:00:00+00:00,1000.2735812685112,1000.4244318162204,1
2025-12-27 06:00:00+00:00,1000.0716091463005,1000.4244318162204,1
2025-12-27 07:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 08:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 09:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 10:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 11:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 12:00:00+00:00,999.952939029114,999.952939029114,0
2025-12-27 13:00:00+00:00,999.952939029114,999.952939029114,0
