ts,symbol,strategy_id,event,side,entry_px,qty,target_weight,notional_frac,exit_reason,exit_px,pnl,bars_held
2025-12-25 10:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,841.23,0.08321148794027793,-0.07,0.07,,,,
2025-12-25 14:00:00+00:00,DOT/USDT:USDT,dot_trend,entry,short,1.72,6.782850775193797,-0.011666666666666665,0.011666666666666665,,,,
2025-12-25 15:00:00+00:00,BNB/USDT:USDT,bnb_trend,exit,short,841.23,0.08321148794027793,,,sl,840.9457999695748,-0.018337103371198583,5.0
2025-12-25 15:00:00+00:00,DOT/USDT:USDT,dot_trend,exit,short,1.72,6.782850775193797,,,sl,1.718707856746966,0.0017697715144220699,1.0
2025-12-25 15:00:00+00:00,TRX/USDT:USDT,trx_trend,entry,short,0.2785,35.90546137764727,-0.006017653417766613,0.01,,,,
2025-12-25 16:00:00+00:00,TRX/USDT:USDT,trx_trend,exit,short,0.2785,35.90546137764727,,,tp,0.2766076190264863,0.06198777744726108,1.0
2025-12-25 17:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,841.0,0.06936374960835391,-0.05833333333333334,0.05833333333333334,,,,
2025-12-25 17:00:00+00:00,DOT/USDT:USDT,dot_trend,entry,short,1.733,5.770429430052169,-0.005657269787427761,0.01,,,,
2025-12-25 18:00:00+00:00,TRX/USDT:USDT,trx_trend,entry,short,0.27784,35.992420824834454,-0.005978317956646916,0.01,,,,
2025-12-25 21:00:00+00:00,TRX/USDT:USDT,trx_trend,exit,short,0.27784,35.992420824834454,,,sl,0.27890425844213707,-0.044328301379593524,3.0
2025-12-25 23:00:00+00:00,BNB/USDT:USDT,bnb_trend,exit,short,841.0,0.06936374960835391,,,tp,833.1837345707755,0.5074898293396469,6.0
2025-12-25 23:00:00+00:00,DOT/USDT:USDT,dot_trend,exit,short,1.733,5.770429430052169,,,tp,1.6992184006413662,0.18905120321300423,6.0
2025-12-25 23:00:00+00:00,TRX/USDT:USDT,trx_trend,entry,short,0.27886,35.88408638390351,-0.006415341761958412,0.01,,,,
2025-12-26 01:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,830.28,0.07030390772811454,-0.05833333333333334,0.05833333333333334,,,,
2025-12-26 02:00:00+00:00,BNB/USDT:USDT,bnb_trend,exit,short,830.28,0.07030390772811454,,,sl,836.0615049079825,-0.44172942211808924,1.0
2025-12-26 02:00:00+00:00,TRX/USDT:USDT,trx_trend,exit,short,0.27886,35.88408638390351,,,sl,0.2799441144496274,-0.044929779831813677,3.0
2025-12-26 04:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,840.99,0.06937402234178677,-0.05833333333333334,0.05833333333333334,,,,
2025-12-26 04:00:00+00:00,TRX/USDT:USDT,trx_trend,entry,short,0.27973,41.71320800953087,-0.011666666666666665,0.011666666666666665,,,,
2025-12-26 07:00:00+00:00,BNB/USDT:USDT,bnb_trend,exit,short,840.99,0.06937402234178677,,,sl,847.4621551972384,-0.48427455434581185,3.0
2025-12-26 09:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,842.13,0.08309471397780954,-0.07,0.07,,,,
2025-12-26 14:00:00+00:00,BNB/USDT:USDT,bnb_trend,exit,short,842.13,0.08309471397780954,,,tp,832.9634906503735,0.7201595547764003,5.0
2025-12-26 14:00:00+00:00,TRX/USDT:USDT,trx_trend,exit,short,0.27973,41.71320800953087,,,tp,0.2779509694231067,0.0672525365468666,10.0
2025-12-26 23:00:00+00:00,BNB/USDT:USDT,bnb_trend,entry,short,835.63,0.08380585983845078,-0.07,0.07,,,,
