window,return_pct,sharpe,mdd_pct,trade_count,win_rate_pct,avg_active_symbols,avg_gross_weight,rows
1m,4.110786804641675,2.6905602396507127,-3.1087231800985493,230,54.347826086956516,1.9125,0.38110297101989044,720
3m,19.679959005348245,2.776985920685556,-11.293955815084356,831,49.69915764139591,2.2689814814814815,0.44798028467543227,2160
6m,73.08341635903048,3.6882807538190248,-11.29395581508449,1640,48.84146341463415,2.240842490842491,0.4567213160692769,4368
12m,120.54087407286045,3.1256381108149456,-11.293955815084345,2591,48.12813585488229,1.7707762557077626,0.3898043142622922,8760
24m,325.985207823772,2.6316512585798986,-12.711240814137092,5449,48.06386492934484,1.8131278538812785,0.38915389270166745,17520
