ts,n_opps,n_features,n_scores,n_accepts,gross_weight,active_symbols,port_ret_simple,equity_simple,port_ret,equity
2025-12-25 00:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 01:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 02:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 03:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 04:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 05:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 06:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 07:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 08:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 09:00:00+00:00,10,10,10,0,0.0,0,0.0,1000.0,0.0,1000.0
2025-12-25 10:00:00+00:00,10,10,10,1,0.07,1,-7.444672816786292e-05,999.9255532718322,0.0,1000.3512984320578
2025-12-25 11:00:00+00:00,10,10,10,1,0.07,1,-3.0081291108114975e-05,999.8954742201778,0.0,1000.277240207791
2025-12-25 12:00:00+00:00,10,10,10,1,0.07,1,9.020510923648529e-05,999.9856699006548,0.0,1000.2472840721325
2025-12-25 13:00:00+00:00,10,10,10,1,0.07,1,-8.697626073762789e-05,999.8986948862956,0.0,1000.337152479108
2025-12-25 14:00:00+00:00,10,10,10,2,0.07,2,-0.0004778576209473995,999.4208856747688,0.0,1000.3296734402857
2025-12-25 15:00:00+00:00,10,10,10,3,0.07,3,0.00010322476551763623,999.5240506613461,0.0,1000.0002867854279
2025-12-25 16:00:00+00:00,10,10,10,3,0.07,3,-1.6729536177791533e-05,999.5073290875799,0.0,1000.0270872107251
2025-12-25 17:00:00+00:00,10,10,10,3,0.07,3,-7.078935413135307e-05,999.4365746093042,0.0,1000.0122246025578
2025-12-25 18:00:00+00:00,10,10,10,3,0.07,3,2.7470676884537918e-05,999.4640298085119,0.0,999.9276635543752
2025-12-25 19:00:00+00:00,10,10,10,2,0.07,2,4.9229718212750095e-05,999.513233141063,0.0,999.9451435979913
2025-12-25 20:00:00+00:00,10,10,10,2,0.07,2,-0.00012754236069928318,999.3857528637581,0.0,999.9998809981963
2025-12-25 21:00:00+00:00,10,10,10,2,0.07,2,0.00035496996108332925,999.7405047855594,0.0,999.8611866615412
2025-12-25 22:00:00+00:00,10,10,10,2,0.07,2,0.0005659235860171588,1000.3062815171143,0.0,1000.3026641715253
2025-12-25 23:00:00+00:00,10,10,10,3,0.07,3,1.1376066212073606e-05,1000.3176610676053,0.0,1000.6720379593187
2025-12-26 00:00:00+00:00,10,10,10,3,0.07,2,-0.00016201069859151155,1000.1555989045222,0.0,1000.6677318689526
2025-12-26 01:00:00+00:00,10,10,10,3,0.07,2,-0.0007415382845884574,999.413945237389,0.0,1000.4939996546125
2025-12-26 02:00:00+00:00,10,10,10,3,0.07,2,0.00010782076572784499,999.5217028142437,0.0,1000.1632979866158
2025-12-26 03:00:00+00:00,10,10,10,3,0.07,2,-2.9386573575926707e-05,999.4923302961832,0.0,1000.1632979866158
2025-12-26 04:00:00+00:00,10,10,10,3,0.07,2,6.057387875812079e-06,999.4983846089067,0.0,1000.1199042287949
2025-12-26 05:00:00+00:00,10,10,10,3,0.07,2,-0.0002028922958510556,999.295594086954,0.0,1000.1259851682178
2025-12-26 06:00:00+00:00,10,10,10,3,0.07,2,0.00020525800899254233,999.5007075109913,0.0,999.922982571709
2025-12-26 07:00:00+00:00,10,10,10,3,0.07,1,-7.405734392087472e-05,999.426687143346,0.0,999.6621012487642
2025-12-26 08:00:00+00:00,10,10,10,3,0.07,1,-3.408024889268502e-05,999.3926264330981,0.0,999.6904662302106
2025-12-26 09:00:00+00:00,10,10,10,2,0.07,1,0.0001279464476464032,999.5204951694543,0.0,999.6382307663823
2025-12-26 10:00:00+00:00,10,10,10,3,0.07,1,0.00012485136741973492,999.6452866700403,0.0,999.8012357206362
2025-12-26 11:00:00+00:00,10,10,10,3,0.07,1,-0.00020011911852292342,999.4452385364362,0.0,999.9242092632825
2025-12-26 12:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,999.7156050439737
2025-12-26 13:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,999.6130411200683
2025-12-26 14:00:00+00:00,10,10,10,2,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 15:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 16:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 17:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 18:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 19:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 20:00:00+00:00,10,10,10,2,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 21:00:00+00:00,10,10,10,3,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 22:00:00+00:00,10,10,10,2,0.0,0,0.0,999.4452385364362,0.0,1000.4384379543517
2025-12-26 23:00:00+00:00,10,10,10,2,0.07,1,-6.875486614361215e-05,999.3765218128427,0.0,1000.4898003868943
2025-12-27 00:00:00+00:00,10,10,10,1,0.07,1,-6.282384194717272e-05,999.3137371401906,0.0,1000.4210795818268
2025-12-27 01:00:00+00:00,10,10,10,1,0.07,1,7.866861146313742e-05,999.3923517643075,0.0,1000.358225186948
