window,return_pct,sharpe,mdd_pct,trade_count,win_rate_pct,avg_active_symbols,avg_gross_weight
1m,8.898515707472177,6.999142807635663,-1.8084360479432626,112,62.5,0.9819444444444444,0.19024151630778832
3m,32.22663872343019,4.855357292476909,-5.660953708700822,446,52.91479820627802,1.2125,0.22786200662549752
6m,81.16568080769665,4.6913861947126145,-5.660953708700767,906,51.76600441501103,1.1948260073260073,0.2302771933610449
12m,128.38231151595122,3.7476688729166603,-5.660953708700822,1511,50.827266710787555,1.0042237442922375,0.19840481423179543
