window,return_pct,sharpe,mdd_pct,trade_count,win_rate_pct,avg_active_symbols,avg_gross_weight,base_return_pct,base_sharpe,base_mdd_pct,base_trade_count,base_win_rate_pct,delta_return_pct,delta_sharpe,delta_mdd_pct,delta_trade_count,delta_win_rate_pct
1m,3.347780482813456,2.4912239386731145,-2.65571513545646,230,53.91304347826087,1.9055555555555554,0.22379987208722585,8.898515707472177,6.999142807635663,-1.8084360479432626,112,62.5,-5.5507352246587205,-4.507918868962548,-0.8472790875131975,118,-8.586956521739133
3m,17.38727421538666,2.8172172820840506,-9.459562421359946,838,49.16467780429594,2.2625,0.2602132645673279,32.22663872343019,4.855357292476909,-5.660953708700822,446,52.91479820627802,-14.83936450804353,-2.0381400103928584,-3.7986087126591244,392,-3.7501204019820804
6m,61.811994827234386,3.6934586429086065,-9.459562421359758,1652,48.365617433414045,2.2360347985347984,0.26702916839115015,81.16568080769665,4.6913861947126145,-5.660953708700767,906,51.76600441501103,-19.35368598046226,-0.997927551804008,-3.798608712658991,746,-3.400386981596988
12m,98.4679300974866,3.0909226841122055,-9.459562421359891,2610,47.701149425287355,1.767579908675799,0.22458508634808663,128.38231151595122,3.7476688729166603,-5.660953708700822,1511,50.827266710787555,-29.914381418464615,-0.6567461888044548,-3.7986087126590693,1099,-3.1261172855002
