window,return_pct,sharpe,mdd_pct,trade_count,win_rate_pct,avg_active_symbols,avg_gross_weight,base_return_pct,base_sharpe,base_mdd_pct,base_trade_count,base_win_rate_pct,base_avg_active_symbols,base_avg_gross_weight,delta_return_pct,delta_sharpe,delta_mdd_pct,delta_trade_count,delta_win_rate_pct
1m,8.898515707472177,6.999142807635663,-1.8084360479432626,112,62.5,0.9819444444444444,0.19024151630778832,7.220267643101463,6.31546777824059,-1.7280498802597188,112,62.5,0.9833333333333332,0.170406928076867,1.6782480643707132,0.6836750293950731,-0.08038616768354379,0,0.0
3m,32.22663872343019,4.855357292476909,-5.660953708700822,446,52.91479820627802,1.2125,0.22786200662549752,25.42809105877673,4.448544219202908,-5.055001233672362,451,52.328159645232816,1.2087962962962964,0.2019823419899063,6.798547664653462,0.40681307327400074,-0.6059524750284595,-5,0.5866385610452056
6m,81.16568080769665,4.6913861947126145,-5.660953708700767,906,51.76600441501103,1.1948260073260073,0.2302771933610449,65.76874845380836,4.46619720434389,-5.055001233672451,920,50.97826086956522,1.1895604395604396,0.2040015071197451,15.396932353888289,0.22518899036872497,-0.6059524750283156,-14,0.7877435454458137
12m,128.38231151595122,3.7476688729166603,-5.660953708700822,1511,50.827266710787555,1.0042237442922375,0.19840481423179543,100.23222168923832,3.532745010004058,-5.05500123367244,1539,50.227420402859,0.9987442922374428,0.1752189127438071,28.1500898267129,0.21492386291260246,-0.6059524750283813,-28,0.5998463079285514
