symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
CC/USDT:USDT,CC,False,swap,swap,True,True
CELO/USDT:USDT,CELO,False,swap,swap,True,True
CELR/USDT:USDT,CELR,False,swap,swap,True,True
CETUS/USDT:USDT,CETUS,False,swap,swap,True,True
CFG/USDT:USDT,CFG,False,swap,swap,True,True
CFX/USDT:USDT,CFX,False,swap,swap,True,True
CGPT/USDT:USDT,CGPT,False,swap,swap,True,True
CHILLGUY/USDT:USDT,CHILLGUY,False,swap,swap,True,True
CHIP/USDT:USDT,CHIP,False,swap,swap,True,True
CHR/USDT:USDT,CHR,False,swap,swap,True,True
CHZ/USDT:USDT,CHZ,False,swap,swap,True,True
CKB/USDT:USDT,CKB,False,swap,swap,True,True
CL/USDT:USDT,CL,False,swap,swap,True,True
CLANKER/USDT:USDT,CLANKER,False,swap,swap,True,True
COAI/USDT:USDT,COAI,False,swap,swap,True,True
COHR/USDT:USDT,COHR,False,swap,swap,True,True
COIN/USDT:USDT,COIN,False,swap,swap,True,True
COMP/USDT:USDT,COMP,False,swap,swap,True,True
COOKIE/USDT:USDT,COOKIE,False,swap,swap,True,True
COPPER/USDT:USDT,COPPER,False,swap,swap,True,True
COST/USDT:USDT,COST,False,swap,swap,True,True
COTI/USDT:USDT,COTI,False,swap,swap,True,True
COW/USDT:USDT,COW,False,swap,swap,True,True
CRCL/USDT:USDT,CRCL,False,swap,swap,True,True
CRDO/USDT:USDT,CRDO,False,swap,swap,True,True
CROSS/USDT:USDT,CROSS,False,swap,swap,True,True
CRV/USDT:USDT,CRV,False,swap,swap,True,True
CRWD/USDT:USDT,CRWD,False,swap,swap,True,True
CRWV/USDT:USDT,CRWV,False,swap,swap,True,True
CSCO/USDT:USDT,CSCO,False,swap,swap,True,True
CTK/USDT:USDT,CTK,False,swap,swap,True,True
CTR/USDT:USDT,CTR,False,swap,swap,True,True
CTSI/USDT:USDT,CTSI,False,swap,swap,True,True
CVC/USDT:USDT,CVC,False,swap,swap,True,True
CVX/USDT:USDT,CVX,False,swap,swap,True,True
CYBER/USDT:USDT,CYBER,False,swap,swap,True,True
CYS/USDT:USDT,CYS,False,swap,swap,True,True
DASH/USDT:USDT,DASH,False,swap,swap,True,True
DEEP/USDT:USDT,DEEP,False,swap,swap,True,True
DELL/USDT:USDT,DELL,False,swap,swap,True,True
DEXE/USDT:USDT,DEXE,False,swap,swap,True,True
DIA/USDT:USDT,DIA,False,swap,swap,True,True
DOGS/USDT:USDT,DOGS,False,swap,swap,True,True
DOLO/USDT:USDT,DOLO,False,swap,swap,True,True
DOOD/USDT:USDT,DOOD,False,swap,swap,True,True
DRAM/USDT:USDT,DRAM,False,swap,swap,True,True
DRIFT/USDT:USDT,DRIFT,False,swap,swap,True,True
DYDX/USDT:USDT,DYDX,False,swap,swap,True,True
DYM/USDT:USDT,DYM,False,swap,swap,True,True
EDGE/USDT:USDT,EDGE,False,swap,swap,True,True
EGLD/USDT:USDT,EGLD,False,swap,swap,True,True
EIGEN/USDT:USDT,EIGEN,False,swap,swap,True,True
ELSA/USDT:USDT,ELSA,False,swap,swap,True,True
ENA/USDT:USDT,ENA,False,swap,swap,True,True
ENJ/USDT:USDT,ENJ,False,swap,swap,True,True
ENS/USDT:USDT,ENS,False,swap,swap,True,True
ENSO/USDT:USDT,ENSO,False,swap,swap,True,True
EPIC/USDT:USDT,EPIC,False,swap,swap,True,True
ERA/USDT:USDT,ERA,False,swap,swap,True,True
ESP/USDT:USDT,ESP,False,swap,swap,True,True
ESPORTS/USDT:USDT,ESPORTS,False,swap,swap,True,True
ETC/USDT:USDT,ETC,False,swap,swap,True,True
ETHFI/USDT:USDT,ETHFI,False,swap,swap,True,True
ETHW/USDT:USDT,ETHW,False,swap,swap,True,True
EUL/USDT:USDT,EUL,False,swap,swap,True,True
EWJ/USDT:USDT,EWJ,False,swap,swap,True,True
EWT/USDT:USDT,EWT,False,swap,swap,True,True
EWY/USDT:USDT,EWY,False,swap,swap,True,True
F/USDT:USDT,F,False,swap,swap,True,True
FARTCOIN/USDT:USDT,FARTCOIN,False,swap,swap,True,True
FET/USDT:USDT,FET,False,swap,swap,True,True
FF/USDT:USDT,FF,False,swap,swap,True,True
FIDA/USDT:USDT,FIDA,False,swap,swap,True,True
FIGHT/USDT:USDT,FIGHT,False,swap,swap,True,True
FIL/USDT:USDT,FIL,False,swap,swap,True,True
FLOCK/USDT:USDT,FLOCK,False,swap,swap,True,True
FLUID/USDT:USDT,FLUID,False,swap,swap,True,True
FLUX/USDT:USDT,FLUX,False,swap,swap,True,True
