symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
W/USDT:USDT,W,False,swap,swap,True,True
WAL/USDT:USDT,WAL,False,swap,swap,True,True
WAXP/USDT:USDT,WAXP,False,swap,swap,True,True
WCT/USDT:USDT,WCT,False,swap,swap,True,True
WDC/USDT:USDT,WDC,False,swap,swap,True,True
WET/USDT:USDT,WET,False,swap,swap,True,True
WIF/USDT:USDT,WIF,False,swap,swap,True,True
WLD/USDT:USDT,WLD,False,swap,swap,True,True
WLFI/USDT:USDT,WLFI,False,swap,swap,True,True
WMT/USDT:USDT,WMT,False,swap,swap,True,True
WOO/USDT:USDT,WOO,False,swap,swap,True,True
XAG/USDT:USDT,XAG,False,swap,swap,True,True
XAI/USDT:USDT,XAI,False,swap,swap,True,True
XAN/USDT:USDT,XAN,False,swap,swap,True,True
XAU/USDT:USDT,XAU,False,swap,swap,True,True
XAUT/USDT:USDT,XAUT,False,swap,swap,True,True
XLM/USDT:USDT,XLM,False,swap,swap,True,True
XMR/USDT:USDT,XMR,False,swap,swap,True,True
XPD/USDT:USDT,XPD,False,swap,swap,True,True
XPIN/USDT:USDT,XPIN,False,swap,swap,True,True
XPL/USDT:USDT,XPL,False,swap,swap,True,True
XPT/USDT:USDT,XPT,False,swap,swap,True,True
XTZ/USDT:USDT,XTZ,False,swap,swap,True,True
XVG/USDT:USDT,XVG,False,swap,swap,True,True
XVS/USDT:USDT,XVS,False,swap,swap,True,True
YB/USDT:USDT,YB,False,swap,swap,True,True
YGG/USDT:USDT,YGG,False,swap,swap,True,True
ZAMA/USDT:USDT,ZAMA,False,swap,swap,True,True
ZBT/USDT:USDT,ZBT,False,swap,swap,True,True
ZEC/USDT:USDT,ZEC,False,swap,swap,True,True
ZEN/USDT:USDT,ZEN,False,swap,swap,True,True
ZEST/USDT:USDT,ZEST,False,swap,swap,True,True
ZETA/USDT:USDT,ZETA,False,swap,swap,True,True
ZIL/USDT:USDT,ZIL,False,swap,swap,True,True
ZK/USDT:USDT,ZK,False,swap,swap,True,True
ZKC/USDT:USDT,ZKC,False,swap,swap,True,True
ZKP/USDT:USDT,ZKP,False,swap,swap,True,True
ZORA/USDT:USDT,ZORA,False,swap,swap,True,True
ZRO/USDT:USDT,ZRO,False,swap,swap,True,True
ZRX/USDT:USDT,ZRX,False,swap,swap,True,True
龙虾/USDT:USDT,龙虾,False,swap,swap,True,True
