trace_candidate_id,ts,symbol,symbol_code,side,strategy_id,adx,range_pct,breakout_distance_up,breakout_distance_down,dist_close_ema_fast,dist_close_ema_slow,pullback_depth,ret_1h_lag,ret_4h_lag,ret_12h_lag,ret_24h_lag,ema_gap_fast_slow,atrp,atrp_zscore,rolling_vol_24h,rolling_vol_72h,btc_adx,btc_atrp,btc_ret_24h_lag,btc_rolling_vol_24h,pnl,target_win,exit_reason,entry_ts,exit_ts,bars_held
1778731200000|INJ/USDT:USDT|inj_trend_discovery|long,2026-05-14 04:00:00+00:00,INJ/USDT:USDT,INJ,long,inj_trend_discovery,100.0,0.0665652339292507,0.0,0.0,0.0567784540571829,0.0626100775213768,0.0,0.0615788411063999,0.0,0.0,0.0,0.0055183027642219,0.0455748674517354,0.0,0.0,0.0,99.40384568398952,0.0060995525500237,0.0,0.0,14.166323440339196,1,time_stop,1778731200000,1778778000000,13
1778734800000|TON/USDT:USDT|ton_trend_discovery|long,2026-05-14 05:00:00+00:00,TON/USDT:USDT,TON,long,ton_trend_discovery,94.6715243239203,0.0244527247321845,0.0,0.0,0.0288141660154403,0.0331386224305493,0.0,0.0068939642639402,0.0,0.0,0.0,0.0042033406595259,0.0195105618932648,0.0,0.0,0.0,94.76579090684854,0.0062011509038872,0.0,0.0,-5.354080086573177,0,time_stop,1778734800000,1778763600000,9
1778742000000|XRP/USDT:USDT|xrp_trend|long,2026-05-14 07:00:00+00:00,XRP/USDT:USDT,XRP,long,xrp_trend,83.47401956027811,0.0044003632045819,0.0,0.0,0.0028826407102508,0.004242938888148,0.0,-0.0015342771462445,0.0070338327354575,0.0,0.0,0.0013563881980585,0.007254392061934,0.0,0.0,0.0,85.6422363954924,0.005722108777175,0.0,0.0,-0.4952640794532635,0,sl,1778742000000,1778756400000,5
1778742000000|ETH/USDT:USDT|eth_trend|long,2026-05-14 07:00:00+00:00,ETH/USDT:USDT,ETH,long,eth_trend,84.242203335978,0.0032196375809877,0.0,0.0,0.0044198300916943,0.0059098729522939,0.0,-0.0010720619766527,0.0103523826097819,0.0,0.0,0.0014834861040762,0.0078936376558627,0.0,0.0,0.0,85.6422363954924,0.005722108777175,0.0,0.0,-0.5986218776428465,0,sl,1778742000000,1778760000000,6
1778742000000|ONDO/USDT:USDT|ondo_trend_discovery|long,2026-05-14 07:00:00+00:00,ONDO/USDT:USDT,ONDO,long,ondo_trend_discovery,84.32779597693487,0.0200051961548453,0.0,0.0,0.0103659916880469,0.012180365801928,0.0,-0.003108003108003,0.0280448717948718,0.0,0.0,0.0017957592880276,0.0148047115346459,0.0,0.0,0.0,85.6422363954924,0.005722108777175,0.0,0.0,1.2808307784977224,1,tp,1778742000000,1778767200000,8
1778745600000|LINK/USDT:USDT|link_trend|long,2026-05-14 08:00:00+00:00,LINK/USDT:USDT,LINK,long,link_trend,77.87837410091952,0.0095488648543311,0.0,0.0,0.0061151132460597,0.0080099103208281,0.0,0.0041091869680069,0.0070650574035913,0.0,0.0,0.0018832806006215,0.0097431486329917,0.0,0.0,0.0,80.390391529234,0.0055838552644822,0.0,0.0,0.13258390984709,1,tp,1778745600000,1778763600000,6
1778745600000|SUI/USDT:USDT|sui_trend_discovery|short,2026-05-14 08:00:00+00:00,SUI/USDT:USDT,SUI,short,sui_trend_discovery,75.91964848164065,0.0144648829431437,0.0,0.0,-0.0064945833116175,-0.0097966014063548,0.0,0.0055490163107447,-0.0074688796680498,0.0,0.0,-0.003323603514658,0.0120660796055999,0.0,0.0,0.0,80.390391529234,0.0055838552644822,0.0,0.0,-0.0614985197719832,0,sl,1778745600000,1778760000000,6
1778749200000|BTC/USDT:USDT|btc_trend_loose|long,2026-05-14 09:00:00+00:00,BTC/USDT:USDT,BTC,long,btc_trend_loose,74.86692817762905,0.004296757706838,0.0,0.0,0.0015898939923021,0.0031389908783251,0.0,-0.0022801115111161,-0.0022138232326082,0.0,0.0,0.0015466378957243,0.0055037691401137,0.0,0.0,0.0,74.86692817762905,0.0055037691401137,0.0,0.0,-0.2453766890677528,0,sl,1778749200000,1778760000000,4
1778752800000|TRX/USDT:USDT|trx_trend|long,2026-05-14 10:00:00+00:00,TRX/USDT:USDT,TRX,long,trx_trend,97.10959081680878,0.0084346525995091,0.0,0.0,0.0095408125045793,0.0119586877357203,0.0,0.0040787423877639,0.0100293472376558,0.0,0.0,0.0023950247490662,0.0030245161529114,0.0,0.0,0.0,70.65329969763107,0.0054371534607746,0.0,0.0,0.1926357893460273,1,tp,1778752800000,1778756400000,1
1778760000000|BNB/USDT:USDT|bnb_trend|long,2026-05-14 12:00:00+00:00,BNB/USDT:USDT,BNB,long,bnb_trend,66.79142901244691,0.0115679339817269,0.0,0.0,0.0108851747762216,0.0124517520455597,0.0,0.011085285177901,0.007692079237326,0.0,0.0,0.001549708422309,0.0079522498569852,0.0,0.0,0.0,63.851203369293096,0.005473646627426,0.0,0.0,0.3020513471895991,1,tp,1778760000000,1778767200000,2
